STATEFP,CD115FP,AFFGEOID,GEOID,LSAD,CDSESSN,ALAND,AWATER,Perimeter
13,09,5001500US1309,1309,C2,115,13497964615,411754565,742866.98785100000
19,04,5001500US1904,1904,C2,115,58937921470,264842664,1250530.57468000000
17,10,5001500US1710,1710,C2,115,777307694,31695461,230763.20401900000
55,05,5001500US5505,5505,C2,115,4897561248,165577272,508609.52213800000
49,04,5001500US4904,4904,C2,115,6603536749,374114296,589150.23155200000
13,02,5001500US1302,1302,C2,115,24931972415,449472216,1012401.73301000000
19,03,5001500US1903,1903,C2,115,22761908990,156085934,757134.56786600000
08,02,5001500US0802,0802,C2,115,19516518907,236586877,1033495.44972000000
06,41,5001500US0641,0641,C2,115,820177168,4159166,229287.67647400000
36,17,5001500US3617,3617,C2,115,990754154,149873221,172771.59269400000
08,01,5001500US0801,0801,C2,115,491909051,7068941,246660.63969000000
42,13,5001500US4213,4213,C2,115,401881854,2643954,256082.99446400000
25,02,5001500US2502,2502,C2,115,4216399937,221853716,449997.73315900000
26,10,5001500US2610,2610,C2,115,10728138463,5439745597,657339.00159600000
06,15,5001500US0615,0615,C2,115,1549178227,73579085,245028.45028300000
06,22,5001500US0622,0622,C2,115,3017080261,10631876,464902.76298500000
36,23,5001500US3623,3623,C2,115,19092488019,1602469476,864966.55859800000
27,07,5001500US2707,2707,C2,115,86581180363,5057706724,2268350.45891000000
31,02,5001500US3102,3102,C2,115,1320129902,43574676,193374.77539900000
37,09,5001500US3709,3709,C2,115,10032958597,88333343,796991.36258600000
06,50,5001500US0650,0650,C2,115,7222171605,40717916,624334.04467600000
36,16,5001500US3616,3616,C2,115,202993288,76385505,98561.64644690000
16,01,5001500US1601,1601,C2,115,102096846269,1311800081,2652602.31453000000
19,01,5001500US1901,1901,C2,115,31206105117,228747351,1141968.91380000000
37,12,5001500US3712,3712,C2,115,1087721309,54513631,232986.48406500000
22,06,5001500US2206,2206,C2,115,10447660904,1012420537,1394523.88336000000
17,03,5001500US1703,1703,C2,115,613767733,13129912,214109.09534500000
49,01,5001500US4901,4901,C2,115,50652444635,3222109149,1505612.17908000000
48,02,5001500US4802,4802,C2,115,799584906,54910333,375677.91831400000
48,06,5001500US4806,4806,C2,115,5564726643,255608840,571529.17407100000
13,07,5001500US1307,1307,C2,115,1016918880,25473538,219598.76344200000
13,10,5001500US1310,1310,C2,115,18380931910,463117419,914793.53998000000
24,05,5001500US2405,2405,C2,115,3839955042,2066568067,534084.72990100000
06,20,5001500US0620,0620,C2,115,12623981667,1575067676,693651.31092900000
06,16,5001500US0616,0616,C2,115,7353849309,119233968,592120.74396600000
42,16,5001500US4216,4216,C2,115,2584021858,105025528,501576.11409500000
18,08,5001500US1808,1808,C2,115,18792547028,278267318,1070818.91154000000
27,06,5001500US2706,2706,C2,115,7463332695,405721162,655837.31569800000
26,08,5001500US2608,2608,C2,115,3893102432,99588318,361766.27433000000
22,05,5001500US2205,2205,C2,115,37433744653,1114650961,2147455.07823000000
06,04,5001500US0604,0604,C2,115,33247167385,858265033,1204935.97347000000
06,06,5001500US0606,0606,C2,115,452858330,11191537,169369.81332400000
12,27,5001500US1227,1227,C2,115,293291784,597442671,152527.51780800000
48,30,5001500US4830,4830,C2,115,922881706,32969231,252618.37310600000
13,03,5001500US1303,1303,C2,115,9935634133,215325903,675595.35770600000
12,03,5001500US1203,1203,C2,115,9233151320,722439524,484009.88343300000
12,21,5001500US1221,1221,C2,115,663355764,250139828,186001.86229300000
06,33,5001500US0633,0633,C2,115,747462851,489601286,270561.55762500000
17,11,5001500US1711,1711,C2,115,726622133,15497432,273149.99472400000
39,05,5001500US3905,3905,C2,115,14572392533,72293142,764517.72762600000
55,06,5001500US5506,5506,C2,115,12739427418,7317184536,879251.82319100000
34,11,5001500US3411,3411,C2,115,1310082064,67961483,273164.25013700000
42,06,5001500US4206,4206,C2,115,2228736505,29642410,578635.70038000000
